CloudMonitor DEBUG 2016-12-13 16:49:37,659 [libvmi_monitor_server.py:469] compareregistry.0x8a81c008.SYSTEM.reg
CloudMonitor DEBUG 2016-12-13 16:49:37,883 [libvmi_monitor_server.py:480] registry/instance-00001e49_registry.0x9e6e8008.UsrClassdat.reg
CloudMonitor DEBUG 2016-12-13 16:49:37,883 [libvmi_monitor_server.py:469] compareregistry.0x9e6e8008.UsrClassdat.reg
CloudMonitor DEBUG 2016-12-13 16:50:59,125 [libvmi_monitor_server.py:480] registry/instance-00001e49_registry.0x8fc4b008.SOFTWARE.reg
CloudMonitor DEBUG 2016-12-13 16:50:59,541 [libvmi_monitor_server.py:469] compareregistry.0x8fc4b008.SOFTWARE.reg
CloudMonitor DEBUG 2016-12-13 16:51:00,172 [libvmi_monitor_server.py:480] registry/instance-00001e49_registry.0x9781f9c8.Syscachehve.reg
CloudMonitor DEBUG 2016-12-13 16:51:00,174 [libvmi_monitor_server.py:469] compareregistry.0x9781f9c8.Syscachehve.reg
CloudMonitor DEBUG 2016-12-13 16:51:00,670 [libvmi_monitor_server.py:480] registry/instance-00001e49_registry.0x92adc008.DEFAULT.reg
CloudMonitor DEBUG 2016-12-13 16:51:00,672 [libvmi_monitor_server.py:469] compareregistry.0x92adc008.DEFAULT.reg
CloudMonitor DEBUG 2016-12-13 16:51:41,186 [libvmi_monitor_server.py:428] start
CloudMonitor DEBUG 2016-12-13 16:51:42,930 [libvmi_monitor_server.py:480] registry/instance-00001e49_registry.0x997b17a0.ntuserdat.reg
CloudMonitor DEBUG 2016-12-13 16:51:42,935 [libvmi_monitor_server.py:469] compareregistry.0x997b17a0.ntuserdat.reg
CloudMonitor DEBUG 2016-12-13 16:52:09,109 [libvmi_monitor_server.py:480] registry/instance-00001e49_registry.0x8a81c008.SYSTEM.reg
CloudMonitor DEBUG 2016-12-13 16:52:09,200 [libvmi_monitor_server.py:469] compareregistry.0x8a81c008.SYSTEM.reg
CloudMonitor DEBUG 2016-12-13 16:52:09,419 [libvmi_monitor_server.py:480] registry/instance-00001e49_registry.0x9e6e8008.UsrClassdat.reg
CloudMonitor DEBUG 2016-12-13 16:52:09,420 [libvmi_monitor_server.py:469] compareregistry.0x9e6e8008.UsrClassdat.reg
CloudMonitor DEBUG 2016-12-13 16:53:30,636 [libvmi_monitor_server.py:480] registry/instance-00001e49_registry.0x8fc4b008.SOFTWARE.reg
CloudMonitor DEBUG 2016-12-13 16:53:31,024 [libvmi_monitor_server.py:469] compareregistry.0x8fc4b008.SOFTWARE.reg
CloudMonitor DEBUG 2016-12-13 16:53:31,663 [libvmi_monitor_server.py:480] registry/instance-00001e49_registry.0x9781f9c8.Syscachehve.reg
CloudMonitor DEBUG 2016-12-13 16:53:31,665 [libvmi_monitor_server.py:469] compareregistry.0x9781f9c8.Syscachehve.reg
CloudMonitor DEBUG 2016-12-13 16:53:32,161 [libvmi_monitor_server.py:480] registry/instance-00001e49_registry.0x92adc008.DEFAULT.reg
CloudMonitor DEBUG 2016-12-13 16:53:32,163 [libvmi_monitor_server.py:469] compareregistry.0x92adc008.DEFAULT.reg
CloudMonitor DEBUG 2016-12-13 16:54:12,678 [libvmi_monitor_server.py:428] start
CloudMonitor DEBUG 2016-12-13 16:54:14,295 [libvmi_monitor_server.py:480] registry/instance-00001e49_registry.0x997b17a0.ntuserdat.reg
CloudMonitor DEBUG 2016-12-13 16:54:14,302 [libvmi_monitor_server.py:469] compareregistry.0x997b17a0.ntuserdat.reg
CloudMonitor DEBUG 2016-12-13 16:54:40,410 [libvmi_monitor_server.py:480] registry/instance-00001e49_registry.0x8a81c008.SYSTEM.reg
CloudMonitor DEBUG 2016-12-13 16:54:40,506 [libvmi_monitor_server.py:469] compareregistry.0x8a81c008.SYSTEM.reg
CloudMonitor DEBUG 2016-12-13 16:54:40,731 [libvmi_monitor_server.py:480] registry/instance-00001e49_registry.0x9e6e8008.UsrClassdat.reg
CloudMonitor DEBUG 2016-12-13 16:54:40,733 [libvmi_monitor_server.py:469] compareregistry.0x9e6e8008.UsrClassdat.reg
CloudMonitor DEBUG 2016-12-13 16:56:01,804 [libvmi_monitor_server.py:480] registry/instance-00001e49_registry.0x8fc4b008.SOFTWARE.reg
CloudMonitor DEBUG 2016-12-13 16:56:02,209 [libvmi_monitor_server.py:469] compareregistry.0x8fc4b008.SOFTWARE.reg
CloudMonitor DEBUG 2016-12-13 16:56:02,854 [libvmi_monitor_server.py:480] registry/instance-00001e49_registry.0x9781f9c8.Syscachehve.reg
CloudMonitor DEBUG 2016-12-13 16:56:02,856 [libvmi_monitor_server.py:469] compareregistry.0x9781f9c8.Syscachehve.reg
CloudMonitor DEBUG 2016-12-13 16:56:03,359 [libvmi_monitor_server.py:480] registry/instance-00001e49_registry.0x92adc008.DEFAULT.reg
CloudMonitor DEBUG 2016-12-13 16:56:03,361 [libvmi_monitor_server.py:469] compareregistry.0x92adc008.DEFAULT.reg
CloudMonitor DEBUG 2016-12-13 16:56:42,793 [libvmi_monitor_server.py:428] start
CloudMonitor DEBUG 2016-12-13 16:56:44,421 [libvmi_monitor_server.py:480] registry/instance-00001e49_registry.0x997b17a0.ntuserdat.reg
CloudMonitor DEBUG 2016-12-13 16:56:44,432 [libvmi_monitor_server.py:469] compareregistry.0x997b17a0.ntuserdat.reg
CloudMonitor DEBUG 2016-12-13 16:57:10,712 [libvmi_monitor_server.py:480] registry/instance-00001e49_registry.0x8a81c008.SYSTEM.reg
CloudMonitor DEBUG 2016-12-13 16:57:10,918 [libvmi_monitor_server.py:469] compareregistry.0x8a81c008.SYSTEM.reg
CloudMonitor DEBUG 2016-12-13 16:57:11,137 [libvmi_monitor_server.py:480] registry/instance-00001e49_registry.0x9e6e8008.UsrClassdat.reg
CloudMonitor DEBUG 2016-12-13 16:57:11,138 [libvmi_monitor_server.py:469] compareregistry.0x9e6e8008.UsrClassdat.reg
CloudMonitor DEBUG 2016-12-13 16:58:32,087 [libvmi_monitor_server.py:480] registry/instance-00001e49_registry.0x8fc4b008.SOFTWARE.reg
CloudMonitor DEBUG 2016-12-13 16:58:32,498 [libvmi_monitor_server.py:469] compareregistry.0x8fc4b008.SOFTWARE.reg
